City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.76,66,66,broken clouds
1,Tuatapere,NZ,-46.1333,167.6833,52.83,94,100,overcast clouds
2,Quatre Cocos,MU,-20.2078,57.7625,78.1,72,36,scattered clouds
3,Ahipara,NZ,-35.1667,173.1667,71.06,67,88,overcast clouds
4,Port Hardy,CA,50.6996,-127.4199,42.8,81,75,light intensity shower rain
5,Mirnyy,RU,62.5353,113.9611,-15.88,96,100,overcast clouds
6,Chiang Khong,TH,20.2613,100.4046,55.72,90,0,clear sky
7,Mandalgovi,MN,45.7625,106.2708,20.5,43,43,scattered clouds
8,Busselton,AU,-33.65,115.3333,77.04,47,1,clear sky
9,Goderich,CA,43.7501,-81.7165,30.9,80,100,overcast clouds
10,Hobart,AU,-42.8794,147.3294,53.26,77,75,broken clouds
11,Mataura,NZ,-46.1927,168.8643,52.48,80,90,overcast clouds
12,Chara,RU,56.9064,118.2631,12.63,77,81,broken clouds
13,Saldanha,ZA,-33.0117,17.9442,71.65,89,60,broken clouds
14,Tiarei,PF,-17.5333,-149.3333,82.42,72,37,scattered clouds
15,Qaanaaq,GL,77.484,-69.3632,7.29,65,16,few clouds
16,Torbay,CA,47.6666,-52.7314,35.67,76,90,overcast clouds
17,San Antonio,US,29.4241,-98.4936,82.38,39,1,clear sky
18,Souillac,MU,-20.5167,57.5167,78.37,78,20,few clouds
19,Trogir,HR,43.5125,16.2517,53.8,66,90,overcast clouds
20,Saskylakh,RU,71.9167,114.0833,-6.97,90,100,overcast clouds
21,Severo-Kurilsk,RU,50.6789,156.125,31.51,63,91,overcast clouds
22,Kagoro,NG,9.6,8.3833,73.6,21,100,overcast clouds
23,Rorvik,NO,64.8621,11.2373,28.51,64,0,clear sky
24,Iskateley,RU,67.6803,53.1512,-2.58,90,5,clear sky
25,Mar Del Plata,AR,-38.0023,-57.5575,71.62,86,0,clear sky
26,Sakakah,SA,29.9697,40.2064,60.37,30,0,clear sky
27,Chicama,PE,-7.8447,-79.1469,64.94,68,93,overcast clouds
28,Ancud,CL,-41.8697,-73.8203,80.22,63,3,clear sky
29,Copiapo,CL,-27.3667,-70.3333,64.09,38,63,broken clouds
30,Mingshui,CN,36.7167,117.5,41.9,78,100,light rain
31,Cabo San Lucas,MX,22.8909,-109.9124,87.51,50,96,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,55.06,44,0,clear sky
33,Benguela,AO,-12.5763,13.4055,78.98,72,21,few clouds
34,Cidreira,BR,-30.1811,-50.2056,69.39,68,9,clear sky
35,Zarichne,UA,51.8126,26.129,21.18,87,93,overcast clouds
36,Lebu,CL,-37.6167,-73.65,61.7,75,10,clear sky
37,Hermanus,ZA,-34.4187,19.2345,69.91,85,95,overcast clouds
38,Arkhangelsk,RU,64.5401,40.5433,10.51,85,90,light snow
39,Carnarvon,AU,-24.8667,113.6333,71.67,88,90,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,60.91,31,0,clear sky
41,Namibe,AO,-15.1961,12.1522,69.33,72,3,clear sky
42,Kaitangata,NZ,-46.2817,169.8464,58.05,75,84,broken clouds
43,Sao Filipe,CV,14.8961,-24.4956,76.87,66,100,overcast clouds
44,Bagdarin,RU,54.4333,113.6,14.83,60,8,clear sky
45,Bluff,NZ,-46.6,168.3333,52.81,88,100,overcast clouds
46,Invermere,CA,50.5167,-116.0354,38.73,60,65,broken clouds
47,Ribeira Grande,PT,38.5167,-28.7,61.2,67,75,broken clouds
48,Victoria,HK,22.2855,114.1577,67.98,82,34,scattered clouds
49,Vao,NC,-22.6667,167.4833,78.3,82,29,scattered clouds
50,Baturaja,ID,-4.1333,104.1667,73.0,98,82,broken clouds
51,Orsha,BY,54.5153,30.4053,9.84,89,19,few clouds
