City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.76,broken clouds,-23.1203,-134.9692,People ThankYou
1,Tuatapere,NZ,52.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
2,Quatre Cocos,MU,78.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
3,Ahipara,NZ,71.06,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
4,Port Hardy,CA,42.8,light intensity shower rain,50.6996,-127.4199,Airport Inn
6,Chiang Khong,TH,55.72,clear sky,20.2613,100.4046,Chiangkhong Green Inn Resident
7,Mandalgovi,MN,20.5,scattered clouds,45.7625,106.2708,В.Ганбат
8,Busselton,AU,77.04,clear sky,-33.65,115.3333,Observatory Guest House
9,Goderich,CA,30.9,overcast clouds,43.7501,-81.7165,Harmony Inn
10,Hobart,AU,53.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
11,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Chara,RU,12.63,broken clouds,56.9064,118.2631,
13,Saldanha,ZA,71.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
14,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
15,Qaanaaq,GL,7.29,few clouds,77.484,-69.3632,Qaanaaq Hotel
16,Torbay,CA,35.67,overcast clouds,47.6666,-52.7314,Gallows Cove
17,San Antonio,US,82.38,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
18,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Trogir,HR,53.8,overcast clouds,43.5125,16.2517,Hotel Medena
21,Severo-Kurilsk,RU,31.51,overcast clouds,50.6789,156.125,Kak Doma
22,Kagoro,NG,73.6,overcast clouds,9.6,8.3833,Palm Garden Hotel
23,Rorvik,NO,28.51,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
25,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
26,Sakakah,SA,60.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
27,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
28,Ancud,CL,80.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
29,Copiapo,CL,64.09,broken clouds,-27.3667,-70.3333,San Francisco de La Selva
30,Mingshui,CN,41.9,light rain,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
31,Cabo San Lucas,MX,87.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
32,Ushuaia,AR,55.06,clear sky,-54.8,-68.3,Albatros Hotel
33,Benguela,AO,78.98,few clouds,-12.5763,13.4055,Hotel Praia Morena
34,Cidreira,BR,69.39,clear sky,-30.1811,-50.2056,Hotel Castelo
35,Zarichne,UA,21.18,overcast clouds,51.8126,26.129,Yunistʹ
36,Lebu,CL,61.7,clear sky,-37.6167,-73.65,Hostal Las Lilas
37,Hermanus,ZA,69.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
38,Arkhangelsk,RU,10.51,light snow,64.5401,40.5433,DVINA HOTEL
39,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
